INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (1234,'Sierra','Chiu','Surgeon');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (1680,'Ronnie','Little','Dentist');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (1872,'Randall','Figueroa\n','Surgeon\n');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (1883,'Virgil','Rogers','Surgeon');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (2024,'Sheri','Gill','Dentist');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (2283,'Jimmy','Miller','Family');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (3529,'Teri','Cooper','Dentist');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (4437,'Claire','Santiago','Family');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (4918,'Shawna','Medina','Family');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (6027,'Orville','Ramirez','Family');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (6267,'Jose','Dunn','Family');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (6666,'James','Bee','Surgeon');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (6794,'Roman','Nayda','Family');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (7260,'Erika','Lyons','Dentist');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (7285,'Tabitha','Castillo','Surgeon');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (9161,'Beth','Copeland','Surgeon');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (9162,'Brian','Tu','Dentist');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (9935,'Jim','Silva','Surgeon');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (9957,'Regina','Craig','Dentist');
INSERT INTO doctor (DocID,FirstName,LastName,DocType) VALUES (9999,'Rachel','Pocrass','Family');
